,Airport,Age,Gender,TripDuration,FlyingCompanion,GroupTravel,NoTripsLastYear,FrequentFlightDestination1,FrequentFlightDestination2,FrequentFlightDestination3,FrequentFlightDestination4,FrequentFlightDestination5,FrequentFlightDestination6,FrequentFlightDestination7,TotalDepartureHr,Airfare,NoTransport,AccessCost,AccessTime,MileageAirline1,MileageAirline2,MileageAirline3,MileageAirline4,MileageAirline5,ProvinceResidence1,ProvinceResidence2,ProvinceResidence3,ProvinceResidence4,ProvinceResidence5,ProvinceResidence6,ProvinceResidence7,ProvinceResidence8,Destination1,Destination2,Destination3,Destination4,DepartureTime1,DepartureTime2,DepartureTime3,DepartureTime4,SeatClass1,SeatClass2,SeatClass3,Occupation1,Occupation2,Occupation3,Occupation4,Occupation5,Occupation6,Occupation7,Occupation8,Occupation9,Occupation10,Occupation11,Occupation12,Income1,Income2,Income3,Income4,Income5,Income6,Income7,Airline1,Airline2,Airline3,Airline4,Korean,PleasureTrip,PublicTrans,const
0,1,0,1,7,0,0,3,1,0,0,0,0,0,0,12.08,80.0,1,8000.0,40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1,1,0,0,4,4,0,1,1,0,0,0,0,0,0,10.17,41.0,1,8000.0,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
2,1,0,1,10,2,0,1,0,1,0,0,0,0,0,11.5,49.83,2,1000.0,20,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
3,1,0,1,7,2,0,2,0,0,0,0,1,0,0,15.33,26.43,1,12642.0,76,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
4,1,0,0,4,0,0,2,0,1,0,0,0,0,0,1.0,40.0,1,8000.0,50,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
5,1,0,1,40,1,0,4,0,1,0,0,0,0,0,14.75,34.0,1,8000.0,50,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
6,1,0,0,40,1,0,0,0,1,0,0,0,0,0,14.75,34.0,1,8000.0,50,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
7,1,1,1,7,1,0,0,0,0,0,1,0,0,0,10.25,56.0,1,8000.0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
8,1,0,0,4,1,0,0,1,0,0,0,0,0,0,19.58,34.0,2,2400.0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
9,1,1,0,5,1,1,2,1,0,0,0,0,0,0,19.0,60.79,2,90000.0,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
