Airline,PleasureTrip,Korean,NoTransport,Airfare,FrequentFlightDestination1,FrequentFlightDestination2,FrequentFlightDestination3,FrequentFlightDestination4,FrequentFlightDestination5,FrequentFlightDestination6,FrequentFlightDestination7,FlyingCompanion,Age,Airport
1,0,1,1,80,1,0,0,0,0,0,0,0,0,1
1,1,1,1,41,1,0,0,0,0,0,0,4,0,1
1,1,1,2,49.83,0,1,0,0,0,0,0,2,0,1
1,0,1,1,26.43,0,0,0,0,1,0,0,2,0,1
1,0,1,1,40,0,1,0,0,0,0,0,0,0,1
1,0,1,1,34,0,1,0,0,0,0,0,1,0,1
1,0,1,1,34,0,1,0,0,0,0,0,1,0,1
1,1,1,1,56,0,0,0,1,0,0,0,1,1,1
3,1,1,2,34,1,0,0,0,0,0,0,1,0,1
1,1,1,2,60.79,1,0,0,0,0,0,0,1,1,1
1,1,1,2,54,1,0,0,0,0,0,0,2,0,1
4,1,1,1,80,1,0,0,0,0,0,0,1,0,1
1,0,0,1,37,0,1,0,1,0,0,0,1,0,1
3,1,1,1,40,1,0,0,0,0,0,0,1,0,1
2,0,1,1,27.12,0,0,1,0,0,0,0,2,1,1
3,1,1,2,40,0,0,0,0,1,0,0,2,0,1
3,1,1,2,29,0,0,0,0,1,0,0,1,0,1
3,1,1,2,38,0,0,1,0,0,0,0,5,0,1
3,1,1,1,70,1,0,0,0,0,0,0,5,0,1
3,1,1,1,38,1,0,0,0,0,0,0,5,0,1
3,1,1,1,70,1,0,0,0,0,0,0,6,1,1
3,1,0,1,44.57,0,0,1,0,0,0,0,3,0,1
3,1,1,1,44.57,1,0,0,0,0,0,0,3,0,1
3,1,1,1,48,0,0,0,1,0,0,0,2,0,1
4,1,1,1,53,0,0,0,0,1,0,0,2,0,1
4,0,0,3,39,0,0,0,0,0,1,0,0,0,1
1,1,1,2,28,0,1,0,0,1,0,0,3,1,1
1,0,1,1,49.83,0,0,0,0,1,0,0,1,0,1
3,1,1,2,44.57,1,0,0,0,0,0,0,2,0,1
4,1,1,1,43,1,0,0,0,0,0,0,4,0,1
3,1,1,1,48,1,0,0,0,0,0,0,2,0,1
1,0,1,1,60.79,0,1,0,0,0,0,0,1,0,1
1,1,1,2,140,0,0,0,0,1,0,0,2,0,1
1,0,1,1,110,0,0,0,0,0,1,0,0,0,1
3,1,1,2,40,1,0,0,0,0,0,0,2,0,1
1,1,0,1,70,1,0,0,0,0,0,0,4,0,1
1,1,1,2,80,1,0,0,0,0,0,0,4,0,1
4,1,1,2,108,0,0,0,0,1,0,0,2,0,1
1,1,1,1,100,1,0,0,0,0,0,0,2,0,1
2,1,1,1,100,1,0,0,0,1,1,0,0,0,1
4,1,1,2,108,0,0,0,0,1,0,0,2,0,1
1,0,1,1,59,1,0,0,0,0,0,0,2,0,1
1,0,1,2,40,1,1,1,1,1,0,0,0,0,1
1,0,0,2,60.79,1,0,0,0,0,0,0,1,1,1
3,1,1,1,30,0,0,0,0,0,1,0,4,0,1
1,1,1,2,48,1,0,0,0,0,0,0,2,0,1
1,1,1,1,54,0,0,1,0,0,0,0,2,0,1
1,0,1,1,60,1,0,0,0,0,0,0,5,0,1
2,0,0,1,52,1,0,0,0,0,0,0,1,0,1
3,1,1,1,45,1,0,0,0,0,0,0,9,0,1
3,1,1,2,45,1,0,0,0,0,0,0,9,1,1
3,1,1,2,50,1,1,0,0,0,0,0,9,1,1
3,1,0,1,44.57,1,0,0,0,0,0,0,4,0,1
3,1,1,1,44.57,1,0,0,0,0,0,0,4,0,1
