Airfare,GroupTravel,NoTransport,PleasureTrip,Destination2,Destination3,Destination4,DepartureTime2,DepartureTime3,DepartureTime4,Income2,Income3,Income4,Income5,Income6,Income7,Income8,airline
80,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
41,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
49.83,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26.43,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
40,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
34,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
34,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
56,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
34,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
60.79,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
54,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
80,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,4
37,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
40,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3
27.12,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2
40,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
29,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
38,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
70,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3
38,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
70,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3
44.57,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,3
44.57,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3
48,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,3
53,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,4
39,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4
28,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
49.83,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
44.57,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
43,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
48,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,3
60.79,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
140,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
110,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
40,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
70,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
80,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
108,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,4
100,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
100,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2
108,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,4
59,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
