AccessTime,Destination2,Destination3,Destination4,DepartureTime3,Income2,Income3,Income4,Income5,Income6,Income7,Income8,Airline3,Airline2,Airline4,airport
40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
76,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
60,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
180,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
90,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
76,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
10,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
20,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
60,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
76,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
56,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
50,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
10,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
90,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
60,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
15,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
30,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
60,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
60,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
40,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
180,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
15,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
10,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
56,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
56,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
56,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
120,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
8,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
15,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
60,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
75,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
40,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
40,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
90,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
20,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
