ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage
1,1,1,49,1,1,2,7,0,3,2,3,1,3,KE627,12,5,2,1,80,1,6,8000,40,1,5,1,150000
2,1,1,49,2,1,1,4,4,3,2,1,1,2,KE703,10,10,1,1,41,1,6,8000,50,9,3,,
3,1,1,25,1,1,1,10,2,3,2,1,2,1,KE897,11,30,1,1,,2,4,1000,20,12,,,
4,1,1,29,1,1,2,7,2,3,2,2,5,2,KE725,15,20,2,1,40,1,1,,,8,7,2,100000
5,1,1,34,2,1,2,4,0,3,2,2,2,1,KE869,1,0,2,1,40,1,6,8000,50,1,3,,
6,1,1,43,1,1,4,40,1,3,2,4,2,1,KE833,14,45,2,1,34,1,6,8000,50,1,3,,
7,1,1,43,2,1,4,40,1,3,2,0,2,1,KE833,14,45,2,1,34,1,6,8000,50,9,3,,
8,1,1,52,1,1,1,7,1,3,2,0,4,2,KE703,10,15,1,1,56,1,6,8000,50,2,3,3,
9,1,3,24,2,1,1,4,1,3,2,0,1,3,2301,19,35,3,1,34,2,2,2400,5,12,,,
10,1,1,52,2,1,1,5,1,5,1,2,1,3,,19,0,3,1,,2,10,90000,60,12,,,
11,1,1,29,2,1,1,5,2,3,2,4,1,2,KE5703,13,35,2,1,54,2,3,1100,10,12,,,
12,1,4,45,1,1,1,7,1,3,1,10,1,4,CX411,15,15,2,1,80,1,6,8000,50,1,2,1,200000
13,1,1,24,1,5,2,90,1,8,2,4,"2,4",1,,19,0,3,1,37,1,5,,,2,2,4,
14,1,3,27,1,1,1,5,1,1,2,0,1,3,,17,,2,1,40,1,5,1500,90,2,4,4,
15,1,2,62,1,1,2,4,2,3,2,8,3,2,OZ108/040CT3,10,20,3,2,,1,5,1500,,5,3,4,
16,1,3,31,2,1,1,5,2,3,2,2,5,3,ZE0511,17,30,2,1,40,2,2,3000,5,12,,,
17,1,3,28,2,1,1,4,1,3,2,2,5,3,ZE511,17,20,2,1,29,2,2,2700,10,12,,,
18,1,3,29,2,1,1,6,5,3,2,1,3,3,7C2201,20,5,3,1,38,2,3,1100,20,12,,,
19,1,3,40,1,1,1,5,5,1,1,2,1,3,7C2401,,,4,1,70,1,1,6000,60,2,3,1,8000
20,1,3,29,1,1,1,6,5,3,2,1,1,3,,20,,3,1,38,1,1,,,2,,,
21,1,3,69,2,1,1,5,6,1,2,0,1,3,7C2401,,,4,1,70,1,1,,,9,1,,
