,ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
0,1,1,1,49.0,1.0,1,2,7,0,3,2,3,1,3,KE627,12,5,2,1.0,80.0,1,6,8000.0,40.0,1,5.0
1,2,1,1,49.0,2.0,1,1,4,4,3,2,1,1,2,KE703,10,10,1,1.0,41.0,1,6,8000.0,50.0,9,3.0
2,3,1,1,25.0,1.0,1,1,10,2,3,2,1,2,1,KE897,11,30,1,1.0,44.0,2,4,1000.0,20.0,12,3.0
3,4,1,1,29.0,1.0,1,2,7,2,3,2,2,5,2,KE725,15,20,2,1.0,40.0,1,1,30000.0,90.0,8,7.0
4,5,1,1,34.0,2.0,1,2,4,0,3,2,2,2,1,KE869,1,0,2,1.0,40.0,1,6,8000.0,50.0,1,3.0
5,6,1,1,43.0,1.0,1,4,40,1,3,2,4,2,1,KE833,14,45,2,1.0,34.0,1,6,8000.0,50.0,1,3.0
6,7,1,1,43.0,2.0,1,4,40,1,3,2,0,2,1,KE833,14,45,2,1.0,34.0,1,6,8000.0,50.0,9,3.0
7,8,1,1,52.0,1.0,1,1,7,1,3,2,0,4,2,KE703,10,15,1,1.0,56.0,1,6,8000.0,50.0,2,3.0
8,9,1,3,24.0,2.0,1,1,4,1,3,2,0,1,3,7C2301,19,35,3,1.0,34.0,2,2,2400.0,5.0,12,3.0
9,10,1,1,52.0,2.0,1,1,5,1,5,1,2,1,3,KE687,19,0,3,1.0,49.5,2,10,90000.0,60.0,12,2.0
10,11,1,1,29.0,2.0,1,1,5,2,3,2,4,1,2,KE5703,13,35,2,1.0,54.0,2,3,1100.0,10.0,12,3.0
11,12,1,4,45.0,1.0,1,1,7,1,3,1,10,1,4,CX411,15,15,2,1.0,80.0,1,6,8000.0,50.0,1,2.0
12,13,1,1,24.0,1.0,5,2,90,1,8,2,4,"2,4",1,KE687,19,0,3,1.0,37.0,1,5,2700.0,40.0,2,2.0
13,14,1,3,27.0,1.0,1,1,5,1,1,2,0,1,3,NotRespond,17,0,2,1.0,40.0,1,5,1500.0,90.0,2,4.0
14,15,1,2,62.0,1.0,1,2,4,2,3,2,8,3,2,OZ222,10,25,3,2.0,40.0,1,5,1500.0,50.0,5,3.0
15,16,1,3,31.0,2.0,1,1,5,2,3,2,2,5,3,ZE511,17,30,2,1.0,40.0,2,2,3000.0,5.0,12,3.0
16,17,1,3,28.0,2.0,1,1,4,1,3,2,2,5,3,ZE511,17,30,2,1.0,29.0,2,2,2700.0,10.0,12,6.0
17,18,1,3,29.0,2.0,1,1,6,5,3,2,1,3,3,7C2201,20,5,3,1.0,38.0,2,3,1100.0,20.0,12,3.0
18,19,1,3,40.0,1.0,1,1,5,5,1,1,2,1,3,7C2401,21,55,4,1.0,70.0,1,1,6000.0,60.0,2,3.0
19,20,1,3,29.0,1.0,1,1,6,5,3,2,1,1,3,7C2201,20,5,3,1.0,38.0,1,1,30000.0,90.0,2,3.0
20,21,1,3,69.0,2.0,1,1,5,6,1,2,0,1,3,7C2401,21,55,4,1.0,70.0,1,1,3001.5,60.0,9,1.0
21,22,1,3,29.0,1.0,4,1,5,3,1,2,1,3,3,TW101,20,25,3,1.0,49.5,1,5,1500.0,50.0,2,2.0
22,23,1,3,28.0,1.0,1,1,5,3,1,2,2,1,3,CA5040,8,40,4,1.0,49.5,1,5,900.0,10.0,1,4.0
23,24,1,3,35.0,1.0,1,1,6,2,1,2,1,4,3,KE623,20,5,3,1.0,48.0,1,1,3.0,90.0,5,3.0
